"en_US,NA;TT;Ward of San Rafael"
"en_US,NA;TT;Mayaro"
"en_US,NA;TT;Saint Patrick"
"fr_FR,AF;TN;Ariana"
"fr_FR,AF;TN;Bartlett"
"fr_FR,AF;TN;Jebel Hadida"
"de_CH,EU;IT;It-Torri ta’ Mamo"
"de_CH,EU;IT;Provincia di Cremona"
"de_CH,EU;IT;Sardinia"
"en_GB,EU;AL;Al-Ubayyid"
"en_GB,EU;AL;Qurayyat"
"en_GB,EU;AL;Al Mansurah"
"is_IS,EU;IS;Norður-Þingeyjarsýsla"
"is_IS,EU;IS;Swieqi"
"is_IS,EU;IS;Is Koula"
"en_GB,AF;TZ;Klute Peak"
"en_GB,AF;TZ;Tabora"
"en_GB,AF;TZ;Malya"
"es_BO,SA;BO;Bø"
"es_BO,SA;BO;Sucre"
"es_BO,SA;BO;Bosaso"
"en_GB,EU;AT;At-Bashi"
"en_GB,EU;AT;Aţ Ţūbah"
"en_GB,EU;AT;Wilaya du Trarza"
"en_US,SA;BR;Osasco"
"en_US,SA;BR;Jutaí"
"en_US,SA;BR;Bar Kōṯ"
"en_US,AS;MY;Ấp Mỹ Thạnh"
"en_US,AS;MY;Mỹ Lại"
"en_US,AS;MY;Subang Jaya"
"en_GB,AS;MM;Inya Lake"
"en_GB,AS;MM;Hinthada"
"en_GB,AS;MM;Hkrangkao"
"ar_IQ,EU;IE;Bellanamullia"
"ar_IQ,EU;IE;Farbreague"
"ar_IQ,EU;IE;Iyo"
"es_ES,NA;DO;Goyang-si"
"es_ES,NA;DO;Rondônia"
"es_ES,NA;DO;Jeollabuk-do"
"es_AR,NA;SV;San Vicente"
"es_AR,NA;SV;Saints Constantine and Helena"
"es_AR,NA;SV;San Sebastián"
"en_GB,NA;KN;Verchilds Mountain"
"en_GB,NA;KN;Gwarzo"
"en_GB,NA;KN;Tofa"
"en_US,OC;AU;Carpentaria"
"en_US,OC;AU;Macao"
"en_US,OC;AU;Au Tau"
"en_US,AF;KE;Yamoussoukro"
"en_US,AF;KE;Kisumu"
"en_US,AF;KE;Mount Elgon"
"fr_FR,AF;SN;Petite Côte"
"fr_FR,AF;SN;Tiraspol"
"fr_FR,AF;SN;Neuilly-sur-Seine"
"en_US,EU;HR;Preko"
"en_US,EU;HR;Sukošan"
"en_US,EU;HR;Gračac"
"fr_FR,AF;CI;Ci Hieum"
"fr_FR,AF;CI;Ami"
"fr_FR,AF;CI;Taraz"
"en_US,EU;HU;Qingcao Hu"
"en_US,EU;HU;Pyongyang"
"en_US,EU;HU;Lingshui Hu"
"es_AR,SA;AR;Dukhān"
"es_AR,SA;AR;Dukhān"
"es_AR,SA;AR;Dukhān"
"en_CA,NA;CA;Na Ca"
"en_CA,NA;CA;Winnipeg"
"en_CA,NA;CA;Xã Ca Thành"
"en_US,AS;LK;Podprudnoye Lake"
"en_US,AS;LK;Lake Poteriteri"
"en_US,AS;LK;Dehiwala-Mount Lavinia"
"en_US,EU;PL;Łódź"
"en_US,EU;PL;Wroclawskie Województwo"
"en_US,EU;PL;Województwo Podlaskie"
"ru_RU,AS;TW;Tūsāsān"
"ru_RU,AS;TW;Kangshan Tw-Afb"
"ru_RU,AS;TW;Bikenibeu Village"
"ru_RU,AS;TM;Gora Dengli-Dag"
"ru_RU,AS;TM;Muminchandyr"
"ru_RU,AS;TM;Tamuning-Tumon-Harmon Village"
"pt_BR,EU;PT;Almodôvar Municipality"
"pt_BR,EU;PT;Funchal"
"pt_BR,EU;PT;Arouca Municipality"
"en_US,AS;TR;Sivas"
"en_US,AS;TR;Ala Dağlar"
"en_US,AS;TR;Tokat Province"
"en_US,NA;CR;Ikom"
"en_US,NA;CR;Cordillera Central"
"en_US,NA;CR;Cantón de Barva"
"en_US,AF;BW;Kuke"
"en_US,AF;BW;Rakops"
"en_US,AF;BW;Rakops"
"en_US,NA;BB;Frankfurt (Oder)"
"en_US,NA;BB;Cottbus"
"en_US,NA;BB;Nehmitzsee"
"en_CA,NA;JM;New Shafton"
"en_CA,NA;JM;Mendes"
"en_CA,NA;JM;Now-e Jam"
"de_DE,EU;GR;Kūr Mūmān"
"de_DE,EU;GR;Southern Europe"
"de_DE,EU;GR;Eparchía Evrytanías"
"en_US,NA;BS;West Indies"
"en_US,NA;BS;Kemps Bay District"
"en_US,NA;BS;Harbour Island"
"es_ES,EU;GB;Santon"
"es_ES,EU;GB;Bennachie"
"es_ES,EU;GB;Akrotiri Airfield"
"en_US,OC;PW;Orrak"
"en_US,OC;PW;Ongetkatel"
"en_US,OC;PW;State of Melekeok"
"pt_PT,AF;MZ;Muhapchi"
"pt_PT,AF;MZ;Lichinga"
"pt_PT,AF;MZ;Circunscrição de Marrupa"
"en_GB,AF;NG;Kano State"
"en_GB,AF;NG;Minna"
"en_GB,AF;NG;Ngozi"
"ar_AE,AS;OM;Jazīrat Maḩawt"
"ar_AE,AS;OM;Oman"
"ar_AE,AS;OM;Barkā’"
"en_US,AS;GE;Japana Lake"
"en_US,AS;GE;Tanabe"
"en_US,AS;GE;Santiago de Cuba"
"fr_FR,EU;FR;Western Europe"
"fr_FR,EU;FR;Pic du Paradis"
"fr_FR,EU;FR;Pic du Paradis"
"en_US,SA;CL;Quilpué"
"en_US,SA;CL;Atacama"
"en_US,SA;CL;Concepción"
"es_US,SA;CO;Barranquilla"
"es_US,SA;CO;Antioquia"
"es_US,SA;CO;Montería"
"en_GB,AF;MU;Mbeya"
"en_GB,AF;MU;Mauritius"
"en_GB,AF;MU;Mutare"
"ar_EG,AF;EG;Ţalkhā"
"ar_EG,AF;EG;Jabal Zubayr"
"ar_EG,AF;EG;Samālūţ"
"en_GB,AS;NP;Manaslu"
"en_GB,AS;NP;Musīkot"
"en_GB,AS;NP;Rāra"
"en_US,NA;AW;Bārāw Kawn"
"en_US,NA;AW;Āw-e Dārū"
"en_US,NA;AW;Gand Āw"
"fr_FR,AF;DZ;Bouïra"
"fr_FR,AF;DZ;Tizi Ouzou"
"fr_FR,AF;DZ;Wilaya de Souk Ahras"
"bg_BG,EU;NL;Zeist"
"bg_BG,EU;NL;Almere"
"bg_BG,EU;NL;Hoofddorp"
"vi_VN,AS;VN;Gia Lai"
"vi_VN,AS;VN;Kouei Hoan"
"vi_VN,AS;VN;Tỉnh Ðiện Biên"
"et_EE,EU;FI;Finland"
"et_EE,EU;FI;Iso Kiskonjärvi"
"et_EE,EU;FI;Rautujärvi"
"ar_AE,AF;MA;Mangilao Village"
"ar_AE,AF;MA;Mary"
"ar_AE,AF;MA;Namangan"
"nb_NO,EU;NO;Port-de-Paix"
"nb_NO,EU;NO;No Shima"
"nb_NO,EU;NO;Monaco"
"en_GB,EU;MT;Mount Makarakomburu"
"en_GB,EU;MT;Inyangani"
"en_GB,EU;MT;North Barrule"
"es_ES,NA;PR;Monte Jayuya"
"es_ES,NA;PR;Praia"
"es_ES,NA;PR;Carribean"
"es_ES,NA;HN;Laguntara"
"es_ES,NA;HN;San Pedro Sula"
"es_ES,NA;HN;Departamento de Cortés"
"en_US,AS;IR;Bojnourd"
"en_US,AS;IR;Bieb ir-Ruwa"
"en_US,AS;IR;Tabriz"
"hu_HU,EU;ES;Belo Horizonte"
"hu_HU,EU;ES;Es Salhîyé"
"hu_HU,EU;ES;Dar es Salaam"
"en_US,AS;IQ;Buḩayrat Sadd al Mawşil"
"en_US,AS;IQ;Mosul"
"en_US,AS;IQ;Hawr as Sanīyah"
"en_NZ,OC;NZ;Waipawa District"
"en_NZ,OC;NZ;Whangarei County"
"en_NZ,OC;NZ;Northcote"
"hy_AM,AS;AM;‘Amrān"
"hy_AM,AS;AM;Sankt Johann am Walde"
"hy_AM,AS;AM;Dießen am Ammersee"
"ru_RU,EU;MD;Leninskiy Rayon"
"ru_RU,EU;MD;Laurel"
"ru_RU,EU;MD;Madrid"
"en_AU,AS;IN;Besana in Brianza"
"en_AU,AS;IN;In Salah"
"en_AU,AS;IN;Sunye In"
"en_US,AS;IL;Springfield"
"en_US,AS;IL;Rdum il-Qawwi"
"en_US,AS;IL;Rdum il-Bież"
"tr_TR,AS;AE;Ban Mueat Ae"
"tr_TR,AS;AE;Umm al-Quwain"
"tr_TR,AS;AE;Ban Mueat Ae"
"ru_RU,EU;EE;Narva River"
"ru_RU,EU;EE;Maardu Järv"
"ru_RU,EU;EE;Tamula Järv"
"mk_MK,EU;MK;Golema Vraca"
"mk_MK,EU;MK;Kumanovo"
"mk_MK,EU;MK;Vasilevo"
"fr_FR,NA;HT;Département du Nord-Est"
"fr_FR,NA;HT;Sud"
"fr_FR,NA;HT;Arrondissement de Vallières"
"in_ID,AS;ID;Busan"
"in_ID,AS;ID;Shanghai"
"in_ID,AS;ID;Shymkent"
"ru_RU,EU;LT;Masčio Ežeras"
"ru_RU,EU;LT;Natkiškiai"
"ru_RU,EU;LT;Alaušo Ežeras"
"ar_EG,EU;DK;Amager"
"ar_EG,EU;DK;Kraka Oliefelt"
"ar_EG,EU;DK;Randers"
"es_UY,SA;UY;Weihai"
"es_UY,SA;UY;Malawi"
"es_UY,SA;UY;Tacuarembo"
"en_GB,AF;GH;Tema"
"en_GB,AF;GH;Anyako"
"en_GB,AF;GH;Bagjamse"
"ar_AE,AS;QA;Qā’emīyeh"
"ar_AE,AS;QA;Western Asia"
"ar_AE,AS;QA;Shahrestān-e Qā’en"
"en_US,EU;UA;Dnipropetrovsk"
"en_US,EU;UA;Balakleyskiy Rayon"
"en_US,EU;UA;Lutsk"
"lv_LV,EU;LV;Jelgava"
"lv_LV,EU;LV;Jēkabpils"
"lv_LV,EU;LV;Vitiņi"
"de_DE,EU;LU;Garoua"
"de_DE,EU;LU;Lü Shan"
"de_DE,EU;LU;Lyudao Airport"
"es_VE,SA;VE;San Fernando de Apure"
"es_VE,SA;VE;Llanos"
"es_VE,SA;VE;Guiria"
"en_US,NA;PA;Pará"
"en_US,NA;PA;Pa Tần Hai"
"en_US,NA;PA;Itaituba"
"en_US,EU;CZ;Borohrádek"
"en_US,EU;CZ;Budweis"
"en_US,EU;CZ;Divec"
"en_US,OC;MP;Micronesia - Northern Mariana Islands"
"en_US,OC;MP;Damoh"
"en_US,OC;MP;Lac Babli"
"el_GR,EU;CY;Margí"
"el_GR,EU;CY;Mathiátis"
"el_GR,EU;CY;Gerólakkos"
"zh_HK,AS;HK;Chek Kok Tau"
"zh_HK,AS;HK;Lamma Island"
"zh_HK,AS;HK;Kai Pei Ha"
"es_EC,SA;EC;Bhisho"
"es_EC,SA;EC;Costa"
"es_EC,SA;EC;Loja"
"ko_KR,AS;PH;Cebu City"
"ko_KR,AS;PH;Lapirawan"
"ko_KR,AS;PH;Glan"
"es_GT,NA;GT;Departamento del Petén"
"es_GT,NA;GT;Departamento de Santa Rosa"
"es_GT,NA;GT;Zacapa"
"en_PK,AS;PK;Quetta"
"en_PK,AS;PK;Khashm Ghuḑayy"
"en_PK,AS;PK;Peshawar"
"pt_PT,EU;DE;Veracruz"
"pt_PT,EU;DE;Concepción de la Vega"
"pt_PT,EU;DE;Alcalá de Henares"
"ru_RU,AS;KZ;Gora Bayberdy"
"ru_RU,AS;KZ;Ozero Aktomar"
"ru_RU,AS;KZ;Sasay"
"fr_CH,EU;CH;Shuangcheng"
"fr_CH,EU;CH;Qufu"
"fr_CH,EU;CH;Nanchong"
"lo_LA,AS;LA;La Chorrera"
"lo_LA,AS;LA;Guatemala City"
"lo_LA,AS;LA;La Plata"
"en_US,AS;LB;Qornet Aaroûba"
"en_US,AS;LB;Western Asia"
"en_US,AS;LB;Beyrouth"
"es_US,SA;PY;Departamento de Caazapá"
"es_US,SA;PY;Lima"
"es_US,SA;PY;Laguna Tiempo"
"en_GB,AS;TH;Nan"
"en_GB,AS;TH;Gera"
"en_GB,AS;TH;Changwat Chumphon"
"en_US,AS;KR;Moksang"
