app_language,geo,event_type,count
tr_TR,EU;DE,page_view,181
tr_TR,AS;AE,start,4
th_TH,AS;TH,action,11599
ru_RU,EU;UA,foreground,217
ru_RU,EU;DE,timing,102
ru_RU,AS;AZ,timing,1182
pl_PL,EU;SE,page_view,2
hu_HU,EU;GB,session_end,28
fr_CH,EU;LU,action,178
fr_BE,EU;BE,in_app_currency_action,78
es_US,SA;PY,page_view,79
es_US,SA;PE,in_app_currency_action,134
es_US,SA;CL,background,503
es_US,NA;MX,in_app_currency_action,585
es_ES,SA;EC,session_end,140
es_CO,NA;MX,action,60
en_US,OC;MP,session_end,2
en_US,EU;PT,perf,3
en_US,EU;NO,action,49
en_US,EU;AT,foreground,30
en_US,AS;PK,background,40
en_US,AS;JO,perf,87
en_US,AS;IR,session_end,38
en_US,AS;HK,action,663
en_SG,AS;SG,perf,23
en_NZ,AF;EG,action,73
en_GB,EU;IT,timing,700
en_GB,EU;CH,page_view,21
en_GB,AS;KW,start,31
cs_CZ,EU;CZ,background,111
ar_JO,AS;SA,foreground,7
ar_AE,AF;MA,session_end,19
tr_TR,EU;BG,timing,11
ru_RU,AS;IL,start,12
ru_RU,AS;AM,session_end,39
ro_RO,EU;GB,perf,16
pt_PT,AF;MZ,action,222
nl_BE,EU;NL,foreground,14
lo_LA,AS;LA,start,3
hr_HR,EU;FR,perf,6
fr_FR,EU;CH,perf,7
fr_FR,AF;RE,perf,13
fr_BE,EU;BE,page_view,179
es_VE,SA;VE,page_view,17
es_US,NA;MX,page_view,1317
es_US,EU;ES,timing,99
es_PE,SA;PE,perf,40
es_MX,NA;US,session_end,13
es_ES,SA;AR,page_view,227
es_EC,SA;AR,in_app_currency_action,3
en_US,SA;EC,session_end,17
en_US,SA;AR,in_app_currency_action,10
en_US,OC;AU,in_app_currency_action,3
en_US,NA;JM,session_end,36
en_US,NA;CA,start,41
en_US,EU;SE,start,8
en_US,EU;CH,timing,154
en_US,AS;BD,perf,32
en_MY,AS;MY,perf,3
en_IN,AS;IN,timing,217
en_GB,EU;PT,timing,30
